"EMPLOYE_ID";"MOIS";"SALAIRE_BRUT";"SALAIRE_NET";"COTISATIONS";"PRIMES";"HEURES_SUPPLEMENTAIRES";"DATE_VIREMENT";"IBAN_VERSEMENT"
"234";"2025-08";"2701.71";"2832.33";"635.21";"765.83";"0";"2025-08-28";"FR7672264337097793487231116"
"155";"2025-03";"9360.0";"8286.55";"1909.09";"835.64";"0";"2025-03-28";"FR7680058370638307140906236"
"855";"2025-03";"2383.19";"1986.33";"570.17";"173.31";"12.7";"2025-03-28";"FR7685651411654368353254721"
"694";"2025-02";"9126.67";"7065.8";"2060.87";"0";"0";"2025-02-28";"FR7640305204428829880694169"
"147";"2025-10";"7501.45";"5824.17";"1677.28";"0";"0";"2025-10-28";"FR7670465195481750842423648"
"145";"2026-02";"4477.6";"3477.07";"1000.53";"0";"14.8";"2026-02-28";"FR7610901118419357533210664"
"289";"2025-03";"9236.63";"8197.28";"2251.99";"1212.64";"0";"2025-03-28";"FR7658267295534166721226585"
"633";"2025-02";"4044.61";"5026.89";"914.78";"1897.06";"0";"2025-02-28";"FR7670365921944714579551942"
"551";"2025-11";"8512.47";"6465.8";"2046.67";"0";"0";"2025-11-28";"FR7643128468563553552458395"
"229";"2025-04";"4749.94";"3790.11";"959.83";"0";"0";"2025-04-28";"FR7676357575225635499545218"
"10";"2025-09";"7344.85";"6707.42";"1524.88";"887.45";"17.8";"2025-09-28";"FR7697084693918418887870951"
"250";"2025-02";"5527.58";"5925.49";"1336.32";"1734.23";"0";"2025-02-28";"FR7647672983716507838809399"
"12";"2025-09";"9505.47";"7958.39";"2224.5";"677.42";"0";"2025-09-28";"FR7674999753294148467136175"
"777";"2025-09";"3359.62";"2612.11";"747.51";"0";"0";"2025-09-28";"FR7634887269587560720599677"
"82";"2026-01";"10468.07";"9643.11";"2152.22";"1327.26";"0";"2026-01-28";"FR7665983298118132892677682"
"892";"2026-01";"6907.31";"5256.14";"1651.17";"0";"0";"2026-01-28";"FR7636415217988481414617598"
"91";"2026-01";"11693.88";"10194.06";"2855.58";"1355.76";"0";"2026-01-28";"FR7647679907241263953391973"
"49";"2025-11";"4854.94";"3816.43";"1038.51";"0";"0";"2025-11-28";"FR7647827854873522165207640"
"768";"2025-01";"5927.88";"4459.22";"1468.66";"0";"12.3";"2025-01-28";"FR7625020727564716531200876"
"982";"2026-02";"11990.76";"9494.31";"2496.45";"0";"0";"2026-02-28";"FR7663622708229211696325737"
"64";"2025-07";"9204.95";"8567.22";"2287.77";"1650.04";"0";"2025-07-28";"FR7636053860267669675261155"
"198";"2025-06";"7428.02";"5732.91";"1695.11";"0";"19.3";"2025-06-28";"FR7653177974082706082541840"
"196";"2025-04";"2877.97";"2199.41";"678.56";"0";"0";"2025-04-28";"FR7645180357394063765015633"
"283";"2025-07";"7756.2";"6068.94";"1687.26";"0";"0";"2025-07-28";"FR7682303776973917163882194"
"952";"2025-08";"10160.72";"9408.16";"2272.73";"1520.17";"0";"2025-08-28";"FR7683747752352656202692574"
"526";"2025-09";"8854.56";"8495.54";"1833.65";"1474.63";"8.5";"2025-09-28";"FR7664559469436123548229956"
"752";"2025-04";"9939.39";"7524.68";"2414.71";"0";"0";"2025-04-28";"FR7636630449096792597710986"
"412";"2025-05";"9463.54";"7855.01";"2220.97";"612.44";"0";"2025-05-28";"FR7677863878612846762575953"
"222";"2025-03";"7248.98";"5655.33";"1593.65";"0";"19.0";"2025-03-28";"FR7613944196269632043438295"
"856";"2025-09";"6995.65";"5556.86";"1438.79";"0";"0";"2025-09-28";"FR7634784122393542718519214"
"712";"2025-01";"10140.96";"8305.7";"2518.15";"682.89";"3.3";"2025-01-28";"FR7636600803746636324526016"
"79";"2025-09";"10250.38";"8164.5";"2085.88";"0";"18.8";"2025-09-28";"FR7666516987638908369661752"
"969";"2025-09";"2514.33";"2040.74";"624.24";"150.65";"0.9";"2025-09-28";"FR7694420747487832574431640"
"363";"2025-01";"4508.44";"4183.47";"928.95";"603.98";"0";"2025-01-28";"FR7648440183824173044181833"
"169";"2025-09";"5265.01";"4552.15";"1159.99";"447.13";"8.4";"2025-09-28";"FR7696978106413524001760238"
"344";"2025-03";"10740.35";"8201.54";"2538.81";"0";"0";"2025-03-28";"FR7696195275412333851860481"
"179";"2025-09";"7824.49";"6807.69";"1661.87";"645.07";"0";"2025-09-28";"FR7669424212561262178830755"
"922";"2025-11";"7305.21";"6997.64";"1557.93";"1250.36";"0";"2025-11-28";"FR7616721536242879901285841"
"925";"2025-04";"2545.01";"2003.48";"541.53";"0";"19.3";"2025-04-28";"FR7662949775345521169426644"
"203";"2025-05";"9952.81";"8318.04";"2182.4";"547.63";"0";"2025-05-28";"FR7690018524936265068246536"
"990";"2026-02";"10508.01";"8297.25";"2210.76";"0";"0";"2026-02-28";"FR7639193109037129956000222"
"391";"2025-11";"6169.25";"4663.49";"1505.76";"0";"3.5";"2025-11-28";"FR7642433946041786489435825"
"931";"2025-03";"8407.5";"7572.52";"2020.93";"1185.95";"0";"2025-03-28";"FR7610510242352756543176885"
"353";"2025-03";"2705.3";"2074.45";"630.85";"0";"0";"2025-03-28";"FR7696060482794907441178859"
"357";"2025-07";"10296.68";"7902.01";"2394.67";"0";"0";"2025-07-28";"FR7692795441729691167087594"
"487";"2025-04";"9701.58";"7540.1";"2161.48";"0";"0";"2025-04-28";"FR7658986413785664353235254"
"760";"2025-05";"6394.55";"5062.77";"1331.78";"0";"0";"2025-05-28";"FR7649390700566327710196014"
"58";"2025-10";"6972.2";"6459.37";"1667.15";"1154.32";"0";"2025-10-28";"FR7621957947296220160570723"
"622";"2025-04";"5860.52";"4659.65";"1200.87";"0";"0";"2025-04-28";"FR7658606915491557172152617"
"319";"2025-09";"11973.74";"9098.29";"2875.45";"0";"0";"2025-09-28";"FR7642770606765966348157144"
"687";"2025-05";"8055.81";"6318.21";"1737.6";"0";"11.3";"2025-05-28";"FR7671187706055879322082664"
"936";"2026-03";"9677.81";"7664.61";"2013.2";"0";"0";"2026-03-28";"FR7620735529723204823021788"
"27";"2026-03";"5078.66";"3903.23";"1175.43";"0";"0";"2026-03-28";"FR7631626878013263583645812"
"101";"2025-03";"9505.45";"7470.45";"2119.25";"84.25";"0";"2025-03-28";"FR7643523328141080500419476"
"947";"2025-03";"5111.74";"3868.36";"1243.38";"0";"0";"2025-03-28";"FR7695730571147211907181575"
"487";"2025-04";"5030.36";"3855.91";"1174.45";"0";"0";"2025-04-28";"FR7637253151744202740313050"
"505";"2025-02";"8447.58";"6593.25";"1854.33";"0";"0";"2025-02-28";"FR7643299857438085568133385"
"369";"2025-04";"9491.98";"7181.0";"2310.98";"0";"6.4";"2025-04-28";"FR7651783423555642290488051"
"651";"2025-12";"8260.06";"6467.39";"1792.67";"0";"0";"2025-12-28";"FR7648209425244888679805240"
"561";"2025-08";"3446.12";"2707.46";"738.66";"0";"0";"2025-08-28";"FR7648557831906478997905614"
"437";"2026-02";"4778.81";"4395.16";"984.16";"600.51";"0";"2026-02-28";"FR7616528844198894881231734"
"255";"2026-01";"7069.47";"5408.31";"1661.16";"0";"0";"2026-01-28";"FR7652781565931411085902777"
"559";"2025-01";"10705.66";"8456.36";"2249.3";"0";"0";"2025-01-28";"FR7645592555099592832660051"
"919";"2025-12";"8671.19";"7636.46";"1812.67";"777.94";"0";"2025-12-28";"FR7616018433236787087090974"
"908";"2025-01";"8160.9";"7480.99";"1776.67";"1096.76";"1.1";"2025-01-28";"FR7622814789234537842765749"
"31";"2025-03";"6686.27";"6580.84";"1458.54";"1353.11";"0";"2025-03-28";"FR7646166332535548146389512"
"247";"2025-11";"4171.91";"3217.41";"954.5";"0";"0";"2025-11-28";"FR7614653302622664865513525"
"30";"2025-05";"5589.1";"4261.03";"1328.07";"0";"0";"2025-05-28";"FR7692757477111167056095460"
"369";"2025-04";"11086.4";"8517.3";"2569.1";"0";"0";"2025-04-28";"FR7663845672814950230355587"
"128";"2025-07";"5884.34";"5677.57";"1192.72";"985.95";"17.0";"2025-07-28";"FR7685365152325836539491053"
"653";"2025-05";"4082.19";"3447.6";"1020.48";"385.89";"0";"2025-05-28";"FR7692169377368321568540725"
"121";"2025-11";"11649.38";"9295.8";"2353.58";"0";"0";"2025-11-28";"FR7681843134201810971549467"
"759";"2025-08";"9868.51";"8652.01";"2249.54";"1033.04";"13.8";"2025-08-28";"FR7682349693601393868042598"
"948";"2025-07";"10649.65";"8018.42";"2631.23";"0";"0";"2025-07-28";"FR7636205357222261920023065"
"329";"2025-01";"8054.61";"6489.63";"1697.03";"132.05";"0";"2025-01-28";"FR7628385484572307641275744"
"56";"2025-06";"5187.87";"3892.0";"1295.87";"0";"0";"2025-06-28";"FR7691483777208130215684043"
"490";"2025-11";"4603.17";"3480.99";"1122.18";"0";"0";"2025-11-28";"FR7638137738511222154221821"
"839";"2026-03";"5495.27";"5374.83";"1162.85";"1042.41";"0";"2026-03-28";"FR7630026123213592130489133"
"861";"2025-04";"2545.88";"3251.95";"510.56";"1216.63";"0";"2025-04-28";"FR7680244622517489906963939"
"520";"2025-06";"5368.19";"4196.8";"1171.39";"0";"0";"2025-06-28";"FR7692044812887398962410196"
"948";"2025-07";"11369.19";"9043.23";"2325.96";"0";"2.8";"2025-07-28";"FR7650065397027619360179671"
"781";"2025-12";"2230.38";"1935.21";"474.76";"179.59";"0";"2025-12-28";"FR7615278169939666675322260"
"915";"2025-05";"8255.65";"6520.77";"1734.88";"0";"0";"2025-05-28";"FR7643902789535979001125961"
"273";"2025-03";"5844.43";"4712.32";"1312.56";"180.45";"0";"2025-03-28";"FR7686569191985727334431339"
"453";"2025-03";"11916.3";"9288.7";"2627.6";"0";"9.9";"2025-03-28";"FR7643730350995229742947379"
"567";"2025-10";"2927.01";"3966.99";"594.26";"1634.24";"0";"2025-10-28";"FR7613210320853255181476012"
"936";"2026-01";"2908.18";"2307.27";"600.91";"0";"7.8";"2026-01-28";"FR7662149274125974510229870"
"558";"2025-08";"5099.29";"4051.08";"1048.21";"0";"0";"2025-08-28";"FR7675702476221934004327471"
"997";"2025-12";"3919.07";"2980.58";"938.49";"0";"12.6";"2025-12-28";"FR7620195915241539536886494"
"760";"2026-03";"5014.97";"3796.32";"1218.65";"0";"0";"2026-03-28";"FR7698014213046670469322471"
"114";"2025-07";"2886.92";"3768.17";"637.66";"1518.91";"0";"2025-07-28";"FR7676023923809403822560192"
"78";"2025-11";"3696.95";"4171.89";"900.77";"1375.71";"0";"2025-11-28";"FR7687914504414902667808954"
"661";"2026-03";"9936.75";"7947.82";"1988.93";"0";"4.2";"2026-03-28";"FR7616024890928268083931571"
"48";"2025-04";"10577.88";"9872.79";"2387.41";"1682.32";"10.9";"2025-04-28";"FR7630428750404891024746188"
"457";"2025-11";"8719.44";"8742.51";"1864.95";"1888.02";"0";"2025-11-28";"FR7637464963616280467799343"
"493";"2025-05";"7778.88";"5891.98";"1886.9";"0";"0";"2025-05-28";"FR7620888118956058503726226"
"858";"2025-03";"9248.94";"7133.13";"2302.37";"186.56";"11.7";"2025-03-28";"FR7680849798013178520874635"
"436";"2026-01";"11751.01";"9071.25";"2679.76";"0";"0";"2026-01-28";"FR7696137824383567961518039"
"152";"2025-04";"11399.69";"9062.11";"2337.58";"0";"0";"2025-04-28";"FR7631633326308844550937297"
"815";"2025-05";"5743.65";"4589.39";"1154.26";"0";"0";"2025-05-28";"FR7696386234639914672465237"
"851";"2025-03";"4926.33";"3927.8";"998.53";"0";"0";"2025-03-28";"FR7622965483434469792148033"
"972";"2025-04";"6501.59";"5058.81";"1442.78";"0";"0";"2025-04-28";"FR7645898590339960713193325"
"962";"2025-08";"9644.87";"7614.23";"2040.76";"10.12";"0";"2025-08-28";"FR7644370765546349621316157"
"460";"2025-09";"3085.61";"2486.86";"745.85";"147.1";"0";"2025-09-28";"FR7656288540092257733396266"
"149";"2026-01";"7665.65";"6036.49";"1629.16";"0";"0";"2026-01-28";"FR7616944249064905433134071"
"934";"2026-02";"3769.4";"3084.05";"936.38";"251.03";"15.9";"2026-02-28";"FR7647227533378773379622161"
"724";"2026-01";"5310.31";"5903.73";"1164.14";"1757.56";"0";"2026-01-28";"FR7696746120445630761737644"
"877";"2025-01";"2473.41";"1938.52";"534.89";"0";"16.1";"2025-01-28";"FR7697130969144695987564230"
"20";"2026-01";"11833.2";"10577.18";"2642.47";"1386.45";"0";"2026-01-28";"FR7687489148889959525804988"
"475";"2025-10";"7510.98";"5786.62";"1724.36";"0";"0";"2025-10-28";"FR7620454396432331741842181"
"906";"2025-08";"2415.96";"2749.05";"585.44";"918.53";"6.7";"2025-08-28";"FR7644199866186635163588872"
"69";"2025-07";"10836.16";"8434.01";"2402.15";"0";"0";"2025-07-28";"FR7666382664148657993597978"
"338";"2025-02";"9368.44";"7236.93";"2131.51";"0";"19.9";"2025-02-28";"FR7658191291308153158473456"
"480";"2025-10";"5129.35";"4762.33";"1041.35";"674.33";"18.7";"2025-10-28";"FR7620929973566161745018075"
"804";"2025-10";"7664.08";"6096.99";"1567.09";"0";"0";"2025-10-28";"FR7620548598758663960005472"
"205";"2025-05";"7210.97";"5982.18";"1462.25";"233.46";"0";"2025-05-28";"FR7662923639125918945032168"
"675";"2025-02";"9019.1";"7043.63";"1975.47";"0";"0";"2025-02-28";"FR7635167223023995127783046"
"988";"2025-03";"8926.34";"8449.31";"2035.29";"1558.26";"0";"2025-03-28";"FR7691085551002486871068738"
"833";"2026-03";"8423.77";"6481.36";"1942.41";"0";"0";"2026-03-28";"FR7623936653685849996369818"
"641";"2025-03";"3849.91";"3151.82";"822.13";"124.04";"0";"2025-03-28";"FR7668343802593987536348315"
"208";"2025-09";"3329.84";"2614.67";"715.17";"0";"1.0";"2025-09-28";"FR7610342852086975837462428"
"927";"2025-10";"11620.71";"10344.72";"2411.66";"1135.67";"7.1";"2025-10-28";"FR7667957658142360710516510"
"742";"2025-10";"7587.68";"5933.69";"1653.99";"0";"0";"2025-10-28";"FR7667593278006600713982960"
"475";"2025-06";"11707.59";"9578.24";"2856.98";"727.63";"0";"2025-06-28";"FR7638035121687116250671151"
"683";"2025-04";"6831.9";"7030.31";"1453.63";"1652.04";"19.0";"2025-04-28";"FR7677699367058473529811327"
"578";"2025-05";"7259.88";"5600.61";"1762.45";"103.18";"13.8";"2025-05-28";"FR7673978295255116225376527"
"457";"2025-12";"8277.03";"6586.73";"1690.3";"0";"0";"2025-12-28";"FR7637816692429458414750376"
"800";"2025-01";"2550.01";"1943.73";"606.28";"0";"0";"2025-01-28";"FR7679553804688822669088966"
"577";"2026-03";"10678.22";"10164.72";"2396.3";"1882.8";"0";"2026-03-28";"FR7615114190565185106291097"
"178";"2025-05";"4979.71";"4214.7";"1017.67";"252.66";"0";"2025-05-28";"FR7628701224047615951381393"
"874";"2025-05";"10205.16";"8146.0";"2059.16";"0";"16.5";"2025-05-28";"FR7697363445397505590631113"
"813";"2025-10";"7246.27";"7465.95";"1488.33";"1708.01";"1.2";"2025-10-28";"FR7646511346512484738491148"
"843";"2025-09";"9867.69";"9442.18";"2290.38";"1864.87";"6.1";"2025-09-28";"FR7613265820009802136611855"
"703";"2026-03";"8070.74";"6130.01";"1940.73";"0";"0";"2026-03-28";"FR7682662226894647813458074"
"565";"2025-11";"9071.67";"7638.33";"1949.89";"516.55";"3.4";"2025-11-28";"FR7632411804174863158154431"
"837";"2025-06";"2281.53";"1965.91";"502.8";"187.18";"0";"2025-06-28";"FR7673622483656213528892956"
"835";"2026-02";"7533.44";"5688.55";"1844.89";"0";"0";"2026-02-28";"FR7663378670782199861687729"
"277";"2025-06";"2449.87";"3572.24";"498.57";"1620.94";"0";"2025-06-28";"FR7693468454532714297686080"
"108";"2025-02";"8968.46";"7151.1";"1817.36";"0";"0.5";"2025-02-28";"FR7662403900083456883318262"
"752";"2025-03";"3105.13";"2397.0";"708.13";"0";"3.1";"2025-03-28";"FR7659765355481992998659614"
"941";"2025-10";"3481.73";"2740.67";"741.06";"0";"0";"2025-10-28";"FR7648941105536009826090665"
"880";"2025-09";"9079.31";"8750.83";"1945.42";"1616.94";"14.2";"2025-09-28";"FR7674429326604765391662168"
"930";"2026-01";"3547.57";"2750.77";"796.8";"0";"0";"2026-01-28";"FR7682824846321640299385765"
"937";"2025-01";"5225.23";"4078.47";"1146.76";"0";"0";"2025-01-28";"FR7647751563792063231884583"
"640";"2025-02";"8736.54";"6692.3";"2044.24";"0";"0";"2025-02-28";"FR7692175197032827185778221"
"102";"2025-05";"2442.42";"3600.72";"568.61";"1726.91";"13.3";"2025-05-28";"FR7650947883191254689638473"
"59";"2025-04";"7272.63";"5737.49";"1535.14";"0";"0";"2025-04-28";"FR7625011388624748308695528"
"305";"2025-08";"2756.22";"2113.0";"643.22";"0";"0";"2025-08-28";"FR7627524268033074909557750"
"712";"2025-08";"10024.03";"7638.43";"2385.6";"0";"1.0";"2025-08-28";"FR7613706467228237137067683"
"369";"2026-02";"3797.77";"3015.96";"781.81";"0";"0";"2026-02-28";"FR7657676662206715633320360"
"224";"2025-10";"6914.67";"5250.37";"1664.3";"0";"0";"2025-10-28";"FR7615853605494095532679955"
"957";"2025-08";"5695.57";"5630.99";"1303.79";"1239.21";"0";"2025-08-28";"FR7651346630525922282639763"
"288";"2025-07";"8667.22";"6718.81";"1948.41";"0";"0";"2025-07-28";"FR7643498853682165836185638"
"310";"2025-12";"7202.0";"5620.08";"1581.92";"0";"14.5";"2025-12-28";"FR7646481115853238754089148"
"798";"2025-03";"3781.79";"4431.21";"836.39";"1485.81";"0";"2025-03-28";"FR7627799990755294104015998"
"650";"2025-03";"3375.95";"2633.39";"742.56";"0";"0";"2025-03-28";"FR7677330351191696170300016"
"343";"2026-02";"7121.65";"5808.93";"1696.52";"383.8";"0";"2026-02-28";"FR7648381624711679144413751"
"610";"2025-11";"3038.93";"2293.38";"745.55";"0";"0";"2025-11-28";"FR7691191699361443741153051"
"470";"2025-09";"4322.99";"3403.16";"919.83";"0";"0";"2025-09-28";"FR7656913147035548534756117"
"674";"2026-03";"11587.56";"8691.28";"2896.28";"0";"2.2";"2026-03-28";"FR7666335460762734035738299"
"623";"2026-03";"5123.72";"3850.82";"1272.9";"0";"13.3";"2026-03-28";"FR7683523535955546525268710"
"966";"2025-04";"11907.45";"10862.89";"2440.81";"1396.25";"0";"2025-04-28";"FR7654158851508884179488488"
"866";"2026-03";"9457.5";"7296.22";"2161.28";"0";"0";"2026-03-28";"FR7689637675966631221901760"
"347";"2025-06";"11110.87";"9004.46";"2342.57";"236.16";"0";"2025-06-28";"FR7694658716551329482983536"
"133";"2025-09";"2633.45";"2476.18";"559.46";"402.19";"0";"2025-09-28";"FR7619280476109464841504825"
"482";"2025-10";"3729.39";"2970.35";"759.04";"0";"0";"2025-10-28";"FR7681489258142234675985822"
"886";"2026-02";"5083.67";"3816.34";"1267.33";"0";"7.6";"2026-02-28";"FR7625494747007543186688311"
"178";"2025-02";"5873.92";"5053.9";"1334.87";"514.85";"0";"2025-02-28";"FR7636752575169729848897084"
"614";"2025-07";"11283.99";"8901.01";"2382.98";"0";"0";"2025-07-28";"FR7625365365953516449904349"
"203";"2025-05";"9142.55";"7396.06";"2002.76";"256.27";"0";"2025-05-28";"FR7636388594323565342366020"
"343";"2025-04";"8006.24";"6022.95";"1983.29";"0";"0.0";"2025-04-28";"FR7648199649312601093917199"
"135";"2025-01";"5563.45";"4176.65";"1386.8";"0";"0";"2025-01-28";"FR7643788692114166368137489"
"205";"2025-07";"11093.72";"8859.53";"2234.19";"0";"0";"2025-07-28";"FR7636486998155805576006940"
"217";"2025-12";"4596.71";"3704.87";"1017.86";"126.02";"0";"2025-12-28";"FR7624556757217014334784694"
"359";"2025-07";"5801.7";"5122.0";"1201.52";"521.82";"10.1";"2025-07-28";"FR7683214592442755876946935"
"914";"2025-11";"5535.57";"6129.22";"1251.37";"1845.02";"0";"2025-11-28";"FR7636965154931685643123171"
"887";"2025-03";"7743.09";"6451.98";"1918.63";"627.52";"5.0";"2025-03-28";"FR7665847629303766809414622"
"935";"2026-03";"4294.39";"3306.28";"988.11";"0";"0";"2026-03-28";"FR7678035619733683083904179"
"592";"2025-08";"5473.47";"4244.84";"1228.63";"0";"0";"2025-08-28";"FR7620945476626029684929287"
"845";"2026-01";"9476.34";"7156.74";"2319.6";"0";"0";"2026-01-28";"FR7668318323068642849576475"
"124";"2026-01";"5641.94";"5915.16";"1245.93";"1519.15";"0";"2026-01-28";"FR7648518170468376887262594"
"476";"2025-05";"5189.28";"4030.83";"1158.45";"0";"0";"2025-05-28";"FR7620310369535397936930473"
"536";"2026-03";"3752.99";"3379.8";"909.47";"536.28";"18.6";"2026-03-28";"FR7640381526121762181722761"
"560";"2025-09";"5260.27";"4008.93";"1251.34";"0";"13.3";"2025-09-28";"FR7691480610366165346628499"
"149";"2026-02";"6338.3";"4898.62";"1439.68";"0";"0";"2026-02-28";"FR7688586279985116842912170"
"945";"2025-12";"9501.35";"7274.5";"2226.85";"0";"0";"2025-12-28";"FR7643610571721346032373034"
"680";"2025-02";"8560.53";"6489.36";"2071.17";"0";"0";"2025-02-28";"FR7660533572633397664304670"
"612";"2026-02";"8051.82";"6316.42";"1735.4";"0";"3.5";"2026-02-28";"FR7693983640335421599815046"
"533";"2026-02";"11883.68";"9429.73";"2453.95";"0";"0";"2026-02-28";"FR7655563892042560815377989"
"768";"2025-10";"4780.28";"3626.19";"1154.09";"0";"0";"2025-10-28";"FR7699029683823349658743584"
"99";"2025-02";"7515.33";"5724.21";"1877.86";"86.74";"15.9";"2025-02-28";"FR7668613102523386537726435"
"91";"2025-11";"7996.92";"6246.79";"1750.13";"0";"0";"2025-11-28";"FR7677109815698156524414443"
"705";"2025-05";"11168.35";"8839.41";"2328.94";"0";"0";"2025-05-28";"FR7676457138185838122840751"
"627";"2026-03";"3096.87";"2450.28";"646.59";"0";"11.3";"2026-03-28";"FR7625189311269636832603496"
"489";"2026-03";"5196.86";"5541.85";"1276.6";"1621.59";"19.2";"2026-03-28";"FR7640036613192435332598674"
"223";"2026-01";"9811.87";"7837.92";"1973.95";"0";"3.9";"2026-01-28";"FR7669395261385794507953712"
"386";"2026-01";"7193.62";"5729.75";"1478.64";"14.77";"19.6";"2026-01-28";"FR7658251774219854987171994"
"456";"2025-10";"8674.77";"8895.2";"1770.94";"1991.37";"0";"2025-10-28";"FR7666695930985837834345929"
"271";"2025-01";"5787.05";"4483.1";"1303.95";"0";"0";"2025-01-28";"FR7657613880339127205776295"
"640";"2025-09";"10071.44";"8286.18";"2501.42";"716.16";"12.0";"2025-09-28";"FR7690136675243161778229056"
"646";"2025-10";"9973.61";"7837.53";"2136.08";"0";"0";"2025-10-28";"FR7651201473403205917806014"
"330";"2025-05";"9341.28";"9105.3";"2102.72";"1866.74";"17.4";"2025-05-28";"FR7685736245019240244492574"
"673";"2025-12";"10827.67";"8357.21";"2470.46";"0";"0";"2025-12-28";"FR7657980986257114187607513"
"865";"2025-11";"6398.87";"5050.15";"1348.72";"0";"0";"2025-11-28";"FR7619735677289197164239555"
"990";"2025-06";"10777.92";"8365.28";"2412.64";"0";"0";"2025-06-28";"FR7659046950822645142838260"
"875";"2025-07";"3437.36";"3870.01";"837.96";"1270.61";"5.4";"2025-07-28";"FR7683073593407530557796846"
"837";"2025-08";"2698.88";"2072.34";"626.54";"0";"0";"2025-08-28";"FR7677700660282741138239059"
"642";"2025-09";"6658.92";"5288.33";"1370.59";"0";"5.2";"2025-09-28";"FR7612603537352187521279778"
