"NUMERO_FACTURE";"ENTREPRISE_ID";"DATE_EMISSION";"DATE_ECHEANCE";"MONTANT_HT";"TVA";"MONTANT_TTC";"STATUT";"MODE_PAIEMENT";"IBAN_CLIENT";"REFERENCE_BANCAIRE"
"FA-2025-00050";"748";"2024-01-11";"2024-03-11";"54109.06";"10821.81";"64930.87";"PAYEE";"VIREMENT";"FR7687204231074522283396994";"REF-320182"
"FA-2025-00051";"746";"2025-05-13";"2025-07-12";"122685.58";"24537.12";"147222.7";"EN_RETARD";"CB";"FR7663695742506510423621858";"REF-434373"
"FA-2025-00052";"955";"2024-11-03";"2024-12-18";"9657.2";"1931.44";"11588.64";"EN_ATTENTE";"CHEQUE";"FR7659515613415211093825854";"REF-961403"
"FA-2025-00053";"62";"2025-03-25";"2025-04-24";"74469.05";"14893.81";"89362.86";"PAYEE";"LETTRE_CHANGE";"FR7618248501893557979168719";"REF-127281"
"FA-2025-00054";"163";"2025-11-19";"2025-12-19";"88510.51";"17702.1";"106212.61";"PAYEE";"VIREMENT";"FR7661941720325234849817136";"REF-499155"
"FA-2025-00055";"716";"2024-04-01";"2024-05-16";"49103.98";"9820.8";"58924.78";"EN_ATTENTE";"LETTRE_CHANGE";"FR7626688487696588998505276";"REF-457748"
"FA-2025-00056";"569";"2025-07-29";"2025-09-12";"103972.35";"20794.47";"124766.82";"EN_RETARD";"VIREMENT";"FR7699374365153050963126642";"REF-520301"
"FA-2025-00057";"189";"2025-12-07";"2026-02-05";"66201.46";"13240.29";"79441.75";"EN_RETARD";"PRELEVEMENT";"FR7618783986247350562969117";"REF-234717"
"FA-2025-00058";"340";"2024-07-26";"2024-09-09";"102100.4";"20420.08";"122520.48";"EN_RETARD";"LETTRE_CHANGE";"FR7675241691472542968517312";"REF-726923"
"FA-2025-00059";"618";"2024-07-03";"2024-08-17";"127714.24";"25542.85";"153257.09";"PAYEE";"LETTRE_CHANGE";"FR7661697850118028458766530";"REF-759655"
"FA-2025-00060";"373";"2024-03-05";"2024-06-03";"105738.45";"21147.69";"126886.14";"EN_ATTENTE";"CB";"FR7658462579289153776241631";"REF-474450"
"FA-2025-00061";"196";"2026-01-25";"2026-03-26";"62793.04";"12558.61";"75351.65";"PAYEE";"VIREMENT";"FR7622383874582852966999538";"REF-858962"
"FA-2025-00062";"422";"2024-04-20";"2024-06-04";"73934.0";"14786.8";"88720.8";"PAYEE";"PRELEVEMENT";"FR7649084339905835028219188";"REF-904990"
"FA-2025-00063";"85";"2024-05-31";"2024-07-30";"119101.17";"23820.23";"142921.4";"PAYEE";"CHEQUE";"FR7679967551196975443917997";"REF-380771"
"FA-2025-00064";"829";"2024-07-21";"2024-09-04";"17603.8";"3520.76";"21124.56";"PAYEE";"CB";"FR7689182386101723948143890";"REF-619495"
"FA-2025-00065";"490";"2024-03-04";"2024-04-18";"90283.52";"18056.7";"108340.22";"EN_RETARD";"CB";"FR7610785665825401052832522";"REF-493465"
"FA-2025-00066";"30";"2025-09-29";"2025-11-28";"112180.46";"22436.09";"134616.55";"EN_ATTENTE";"CB";"FR7657871432268707041111134";"REF-154890"
"FA-2025-00067";"758";"2024-07-20";"2024-10-18";"9728.97";"1945.79";"11674.76";"PAYEE";"CB";"FR7621478286302518570802026";"REF-172587"
"FA-2025-00068";"978";"2025-06-24";"2025-08-23";"9119.16";"1823.83";"10942.99";"PAYEE";"CHEQUE";"FR7642720846744879037448983";"REF-114334"
"FA-2025-00069";"459";"2025-07-14";"2025-08-28";"46141.67";"9228.33";"55370.0";"PAYEE";"VIREMENT";"FR7662752102416899564140235";"REF-165381"
"FA-2025-00070";"971";"2024-06-27";"2024-08-26";"83044.2";"16608.84";"99653.04";"PAYEE";"CHEQUE";"FR7660113820481551678428259";"REF-901873"
"FA-2025-00071";"899";"2024-08-02";"2024-09-16";"124198.05";"24839.61";"149037.66";"EN_ATTENTE";"CHEQUE";"FR7618685240995075618404989";"REF-978274"
"FA-2025-00072";"370";"2024-08-20";"2024-11-18";"60877.66";"12175.53";"73053.19";"EN_ATTENTE";"LETTRE_CHANGE";"FR7669107926475041737262246";"REF-317088"
"FA-2025-00073";"237";"2024-03-31";"2024-05-15";"47355.69";"9471.14";"56826.83";"PAYEE";"CB";"FR7659883123351236967083912";"REF-575407"
"FA-2025-00074";"633";"2024-08-17";"2024-11-15";"59691.07";"11938.21";"71629.28";"PAYEE";"VIREMENT";"FR7650275919579191544223778";"REF-853002"
"FA-2025-00075";"108";"2026-01-19";"2026-02-18";"116427.28";"23285.46";"139712.74";"PAYEE";"VIREMENT";"FR7674663801875632223953034";"REF-560618"
"FA-2025-00076";"220";"2025-12-30";"2026-02-13";"49235.36";"9847.07";"59082.43";"EN_RETARD";"PRELEVEMENT";"FR7611663665878066754709123";"REF-367109"
"FA-2025-00077";"426";"2025-09-03";"2025-12-02";"116197.79";"23239.56";"139437.35";"PAYEE";"VIREMENT";"FR7649133844154232572902580";"REF-516765"
"FA-2025-00078";"315";"2025-07-18";"2025-10-16";"78348.4";"15669.68";"94018.08";"EN_RETARD";"LETTRE_CHANGE";"FR7699175944553996160261474";"REF-167787"
"FA-2025-00079";"865";"2024-06-08";"2024-08-07";"56650.12";"11330.02";"67980.14";"EN_RETARD";"CHEQUE";"FR7664621965889604667564027";"REF-386500"
"FA-2025-00080";"605";"2024-04-07";"2024-05-22";"134396.83";"26879.37";"161276.2";"PAYEE";"VIREMENT";"FR7631441580322088686787465";"REF-546349"
"FA-2025-00081";"310";"2024-01-10";"2024-02-09";"73305.7";"14661.14";"87966.84";"EN_ATTENTE";"VIREMENT";"FR7687816153851094024236797";"REF-293358"
"FA-2025-00082";"959";"2025-07-26";"2025-10-24";"103623.51";"20724.7";"124348.21";"EN_ATTENTE";"PRELEVEMENT";"FR7635763310941707012238864";"REF-962450"
"FA-2025-00083";"857";"2025-10-26";"2026-01-24";"105752.65";"21150.53";"126903.18";"PAYEE";"CHEQUE";"FR7672900921231793011990434";"REF-901352"
"FA-2025-00084";"96";"2024-05-15";"2024-08-13";"115236.29";"23047.26";"138283.55";"EN_RETARD";"PRELEVEMENT";"FR7628585260123295973553098";"REF-637094"
"FA-2025-00085";"310";"2024-08-19";"2024-11-17";"29685.05";"5937.01";"35622.06";"EN_RETARD";"PRELEVEMENT";"FR7631900193027857908464917";"REF-802115"
"FA-2025-00086";"358";"2024-02-19";"2024-05-19";"142247.9";"28449.58";"170697.48";"PAYEE";"LETTRE_CHANGE";"FR7611031449869832120930485";"REF-384293"
"FA-2025-00087";"67";"2024-06-11";"2024-09-09";"40428.02";"8085.6";"48513.62";"EN_ATTENTE";"LETTRE_CHANGE";"FR7667518843281623650466457";"REF-874733"
"FA-2025-00088";"956";"2024-08-29";"2024-10-13";"63389.4";"12677.88";"76067.28";"EN_ATTENTE";"CHEQUE";"FR7664334708951685965563924";"REF-534532"
"FA-2025-00089";"529";"2025-12-14";"2026-03-14";"103789.51";"20757.9";"124547.41";"EN_ATTENTE";"CB";"FR7671346597513079863491127";"REF-276179"
"FA-2025-00090";"89";"2024-09-23";"2024-12-22";"101128.22";"20225.64";"121353.86";"PAYEE";"LETTRE_CHANGE";"FR7656918269355894915475234";"REF-310749"
"FA-2025-00091";"27";"2025-02-05";"2025-05-06";"129712.57";"25942.51";"155655.08";"EN_ATTENTE";"LETTRE_CHANGE";"FR7652330472707552750128952";"REF-472255"
"FA-2025-00092";"981";"2025-03-09";"2025-04-23";"132377.72";"26475.54";"158853.26";"EN_RETARD";"CB";"FR7630622713972683522085481";"REF-898608"
"FA-2025-00093";"343";"2025-10-28";"2025-12-27";"12139.13";"2427.83";"14566.96";"EN_ATTENTE";"CHEQUE";"FR7673796153061865858919181";"REF-386509"
"FA-2025-00094";"559";"2024-10-14";"2024-12-13";"64829.24";"12965.85";"77795.09";"EN_RETARD";"LETTRE_CHANGE";"FR7614726393246312617372066";"REF-873949"
"FA-2025-00095";"435";"2024-04-28";"2024-05-28";"52193.02";"10438.6";"62631.62";"PAYEE";"VIREMENT";"FR7651533805123788385458049";"REF-287607"
"FA-2025-00096";"167";"2025-12-11";"2026-01-25";"54219.91";"10843.98";"65063.89";"PAYEE";"LETTRE_CHANGE";"FR7661284250652516153830366";"REF-906009"
"FA-2025-00097";"253";"2024-05-04";"2024-07-03";"135606.81";"27121.36";"162728.17";"PAYEE";"VIREMENT";"FR7632778165766572595451475";"REF-179979"
"FA-2025-00098";"567";"2024-08-09";"2024-11-07";"90688.54";"18137.71";"108826.25";"PAYEE";"LETTRE_CHANGE";"FR7691776984553788692937781";"REF-669811"
"FA-2025-00099";"764";"2025-05-16";"2025-06-30";"37917.73";"7583.55";"45501.28";"PAYEE";"VIREMENT";"FR7628069491104425926078329";"REF-369534"
"FA-2025-00100";"7";"2024-12-17";"2025-01-16";"103495.47";"20699.09";"124194.56";"PAYEE";"VIREMENT";"FR7623027426898641102814616";"REF-886184"
"FA-2025-00101";"911";"2025-07-09";"2025-08-08";"96483.28";"19296.66";"115779.94";"PAYEE";"CHEQUE";"FR7684949711639940285540218";"REF-570501"
"FA-2025-00102";"261";"2024-07-06";"2024-08-20";"99790.17";"19958.03";"119748.2";"PAYEE";"CB";"FR7643133833495524673677924";"REF-992055"
"FA-2025-00103";"55";"2024-04-19";"2024-05-19";"132375.24";"26475.05";"158850.29";"PAYEE";"VIREMENT";"FR7638900976084523169845515";"REF-572253"
"FA-2025-00104";"518";"2024-03-05";"2024-05-04";"141313.27";"28262.65";"169575.92";"PAYEE";"CHEQUE";"FR7642430325327839139229850";"REF-694248"
"FA-2025-00105";"193";"2024-09-27";"2024-12-26";"48393.45";"9678.69";"58072.14";"EN_ATTENTE";"CB";"FR7697034549659542851608373";"REF-665658"
"FA-2025-00106";"793";"2025-04-03";"2025-07-02";"36851.58";"7370.32";"44221.9";"EN_RETARD";"LETTRE_CHANGE";"FR7667315659155234340458432";"REF-698859"
"FA-2025-00107";"992";"2025-04-12";"2025-06-11";"94682.68";"18936.54";"113619.22";"EN_RETARD";"CB";"FR7650738217467322820475954";"REF-317150"
"FA-2025-00108";"940";"2026-02-06";"2026-05-07";"128099.76";"25619.95";"153719.71";"PAYEE";"PRELEVEMENT";"FR7664099281502656593979210";"REF-248570"
"FA-2025-00109";"936";"2025-05-11";"2025-06-25";"112185.23";"22437.05";"134622.28";"EN_ATTENTE";"VIREMENT";"FR7617914677801683849287229";"REF-407622"
"FA-2025-00110";"497";"2025-01-13";"2025-04-13";"71841.15";"14368.23";"86209.38";"EN_RETARD";"VIREMENT";"FR7671489969911637239001933";"REF-915390"
"FA-2025-00111";"70";"2024-09-26";"2024-12-25";"136213.17";"27242.63";"163455.8";"PAYEE";"CB";"FR7651404144962248007950393";"REF-385885"
"FA-2025-00112";"760";"2025-07-20";"2025-09-03";"31183.3";"6236.66";"37419.96";"PAYEE";"CHEQUE";"FR7689518839252384817167978";"REF-382514"
"FA-2025-00113";"994";"2024-12-07";"2025-03-07";"48975.33";"9795.07";"58770.4";"PAYEE";"CHEQUE";"FR7617342662823815677221359";"REF-608687"
"FA-2025-00114";"871";"2025-03-11";"2025-04-10";"102263.95";"20452.79";"122716.74";"EN_ATTENTE";"LETTRE_CHANGE";"FR7669649853526375902462840";"REF-847455"
"FA-2025-00115";"53";"2025-07-01";"2025-08-15";"48623.51";"9724.7";"58348.21";"EN_RETARD";"PRELEVEMENT";"FR7694765913381015113329854";"REF-378726"
"FA-2025-00116";"227";"2024-03-05";"2024-06-03";"123052.1";"24610.42";"147662.52";"EN_ATTENTE";"VIREMENT";"FR7645314165672959661644431";"REF-272252"
"FA-2025-00117";"259";"2024-02-18";"2024-05-18";"126823.15";"25364.63";"152187.78";"PAYEE";"CHEQUE";"FR7612682630721538038741158";"REF-376707"
"FA-2025-00118";"393";"2024-06-13";"2024-09-11";"79271.4";"15854.28";"95125.68";"EN_RETARD";"CHEQUE";"FR7663356363821221601134210";"REF-313954"
"FA-2025-00119";"201";"2024-04-16";"2024-05-31";"127967.74";"25593.55";"153561.29";"EN_ATTENTE";"CB";"FR7679631699081646051900569";"REF-574531"
"FA-2025-00120";"397";"2025-03-31";"2025-06-29";"99879.93";"19975.99";"119855.92";"EN_ATTENTE";"VIREMENT";"FR7636826982609883259369321";"REF-251427"
"FA-2025-00121";"603";"2025-05-15";"2025-07-14";"143008.25";"28601.65";"171609.9";"PAYEE";"CHEQUE";"FR7644685788319446973126593";"REF-327852"
"FA-2025-00122";"604";"2025-07-16";"2025-10-14";"148442.5";"29688.5";"178131.0";"EN_RETARD";"VIREMENT";"FR7636829872035448484605444";"REF-341267"
"FA-2025-00123";"294";"2024-02-28";"2024-04-28";"40525.24";"8105.05";"48630.29";"EN_ATTENTE";"VIREMENT";"FR7662704964915374276694356";"REF-844448"
"FA-2025-00124";"567";"2024-02-27";"2024-03-28";"148049.0";"29609.8";"177658.8";"PAYEE";"LETTRE_CHANGE";"FR7662531882807650934070696";"REF-256498"
"FA-2025-00125";"774";"2025-07-14";"2025-10-12";"115125.3";"23025.06";"138150.36";"PAYEE";"CB";"FR7623813200625810596498637";"REF-473978"
"FA-2025-00126";"576";"2024-08-29";"2024-10-28";"20442.71";"4088.54";"24531.25";"EN_ATTENTE";"VIREMENT";"FR7613428842953762933613620";"REF-651798"
"FA-2025-00127";"43";"2026-02-07";"2026-03-09";"86129.66";"17225.93";"103355.59";"EN_ATTENTE";"CHEQUE";"FR7641870358862172137071261";"REF-508897"
"FA-2025-00128";"817";"2024-12-21";"2025-02-04";"146256.73";"29251.35";"175508.08";"PAYEE";"CB";"FR7616608219707961932129015";"REF-111713"
"FA-2025-00129";"409";"2024-04-07";"2024-06-06";"75365.18";"15073.04";"90438.22";"EN_ATTENTE";"PRELEVEMENT";"FR7610956263483406219099148";"REF-791473"
"FA-2025-00130";"285";"2024-05-05";"2024-06-19";"36170.78";"7234.16";"43404.94";"EN_ATTENTE";"PRELEVEMENT";"FR7632658488202057266777354";"REF-786099"
"FA-2025-00131";"334";"2025-12-18";"2026-01-17";"48150.68";"9630.14";"57780.82";"PAYEE";"PRELEVEMENT";"FR7677240572368423444917184";"REF-472030"
"FA-2025-00132";"632";"2025-06-19";"2025-09-17";"109124.75";"21824.95";"130949.7";"PAYEE";"CHEQUE";"FR7693035897792731261618125";"REF-329403"
"FA-2025-00133";"535";"2025-03-09";"2025-06-07";"120814.27";"24162.85";"144977.12";"PAYEE";"VIREMENT";"FR7681187407055108101968989";"REF-623999"
"FA-2025-00134";"799";"2024-11-24";"2025-01-08";"111205.58";"22241.12";"133446.7";"EN_RETARD";"VIREMENT";"FR7628911861524439355793130";"REF-400913"
"FA-2025-00135";"18";"2025-06-19";"2025-08-03";"74926.92";"14985.38";"89912.3";"PAYEE";"LETTRE_CHANGE";"FR7679336260034999080758139";"REF-316413"
"FA-2025-00136";"655";"2025-04-30";"2025-06-14";"4121.51";"824.3";"4945.81";"PAYEE";"LETTRE_CHANGE";"FR7614207623979235170400186";"REF-860403"
"FA-2025-00137";"820";"2024-03-26";"2024-05-10";"91506.77";"18301.35";"109808.12";"PAYEE";"VIREMENT";"FR7694562468481821698413659";"REF-343312"
"FA-2025-00138";"223";"2024-04-25";"2024-06-24";"70224.45";"14044.89";"84269.34";"PAYEE";"PRELEVEMENT";"FR7612565164709470034471223";"REF-525709"
"FA-2025-00139";"298";"2025-01-26";"2025-02-25";"129269.58";"25853.92";"155123.5";"EN_ATTENTE";"VIREMENT";"FR7651077836056022469375837";"REF-140766"
"FA-2025-00140";"532";"2025-09-29";"2025-12-28";"130942.81";"26188.56";"157131.37";"EN_RETARD";"CB";"FR7661274418855112565736153";"REF-908656"
"FA-2025-00141";"160";"2025-10-23";"2025-12-07";"109094.51";"21818.9";"130913.41";"PAYEE";"VIREMENT";"FR7689639111572034953711859";"REF-451205"
"FA-2025-00142";"276";"2024-08-17";"2024-10-16";"38394.77";"7678.95";"46073.72";"EN_RETARD";"PRELEVEMENT";"FR7667077395199659691300692";"REF-538489"
"FA-2025-00143";"187";"2024-08-24";"2024-11-22";"94084.5";"18816.9";"112901.4";"EN_ATTENTE";"CHEQUE";"FR7636862453056395959342330";"REF-979568"
"FA-2025-00144";"953";"2025-03-19";"2025-05-03";"134162.76";"26832.55";"160995.31";"EN_RETARD";"PRELEVEMENT";"FR7653603264167084966036799";"REF-580291"
"FA-2025-00145";"269";"2025-06-23";"2025-07-23";"72958.12";"14591.62";"87549.74";"PAYEE";"VIREMENT";"FR7684221633785721285056449";"REF-472197"
"FA-2025-00146";"727";"2026-01-19";"2026-03-05";"95690.71";"19138.14";"114828.85";"EN_ATTENTE";"CB";"FR7647242855192238336510567";"REF-551970"
"FA-2025-00147";"305";"2024-06-19";"2024-08-18";"112840.28";"22568.06";"135408.34";"PAYEE";"CHEQUE";"FR7641429825118411796499879";"REF-944873"
"FA-2025-00148";"486";"2025-03-05";"2025-04-04";"1462.69";"292.54";"1755.23";"PAYEE";"CB";"FR7691652427948660805679928";"REF-596609"
"FA-2025-00149";"953";"2024-02-12";"2024-05-12";"89753.65";"17950.73";"107704.38";"PAYEE";"LETTRE_CHANGE";"FR7670152955701950013392488";"REF-583920"
"FA-2025-00150";"160";"2025-06-06";"2025-08-05";"77100.44";"15420.09";"92520.53";"PAYEE";"VIREMENT";"FR7678103307735038376036759";"REF-124259"
"FA-2025-00151";"956";"2026-02-15";"2026-04-01";"79321.54";"15864.31";"95185.85";"EN_ATTENTE";"PRELEVEMENT";"FR7663614778317597358568778";"REF-530492"
"FA-2025-00152";"39";"2026-01-12";"2026-02-11";"52297.48";"10459.5";"62756.98";"EN_ATTENTE";"VIREMENT";"FR7643554420183843682907588";"REF-915231"
"FA-2025-00153";"927";"2025-06-29";"2025-07-29";"98049.5";"19609.9";"117659.4";"EN_ATTENTE";"LETTRE_CHANGE";"FR7664733715694867769175648";"REF-541938"
"FA-2025-00154";"277";"2025-10-09";"2025-11-23";"106546.54";"21309.31";"127855.85";"PAYEE";"PRELEVEMENT";"FR7616146712028156414472316";"REF-898771"
"FA-2025-00155";"192";"2025-07-12";"2025-08-26";"104617.73";"20923.55";"125541.28";"EN_ATTENTE";"LETTRE_CHANGE";"FR7679802160128629783840575";"REF-902372"
"FA-2025-00156";"686";"2025-08-14";"2025-10-13";"34217.02";"6843.4";"41060.42";"PAYEE";"CHEQUE";"FR7661133917971088976339846";"REF-919151"
"FA-2025-00157";"725";"2024-12-13";"2025-01-12";"6004.92";"1200.98";"7205.9";"PAYEE";"PRELEVEMENT";"FR7673808821445232893367086";"REF-982752"
"FA-2025-00158";"526";"2025-03-15";"2025-04-14";"9591.72";"1918.34";"11510.06";"PAYEE";"CB";"FR7628298571577902561713475";"REF-556390"
"FA-2025-00159";"665";"2025-06-15";"2025-07-15";"120999.93";"24199.99";"145199.92";"PAYEE";"VIREMENT";"FR7674445716998520444222343";"REF-338239"
"FA-2025-00160";"595";"2025-08-08";"2025-10-07";"98434.33";"19686.87";"118121.2";"EN_ATTENTE";"LETTRE_CHANGE";"FR7623309798234899703885188";"REF-867112"
"FA-2025-00161";"732";"2026-03-01";"2026-04-15";"49764.29";"9952.86";"59717.15";"PAYEE";"PRELEVEMENT";"FR7665616563268936552827514";"REF-436415"
