"PRENOM";"NOM";"EMAIL";"TELEPHONE";"DATE_NAISSANCE";"ADRESSE";"CODE_POSTAL";"VILLE";"DIPLOME";"ANNEES_EXPERIENCE";"POSTE_VISE";"SALAIRE_SOUHAITE";"DATE_CANDIDATURE";"STATUT"
"Hugo";"Adam";"hugo-adam@hotmail.fr";"+33 6 76 14 70 27";"1991-06-06";"147 Avenue de la Liberté";"87000";"Limoges";"Bac+5 (Master/Ingénieur)";"20";"Data Engineer";"38815.87";"2025-06-15";"REFUSE"
"Emma";"Picard";"emmapicard@hotmail.fr";"+33 6 64 29 23 37";"1986-10-05";"111 Rue de Rivoli";"75001";"Paris";"Bac Pro";"9";"Chargé de Communication";"68319.17";"2025-05-22";"EMBAUCHE"
"Manon";"Giraud";"manon-giraud@outlook.fr";"+33 6 55 51 95 72";"1988-09-26";"150 Rue des Écoles";"54000";"Nancy";"MBA";"15";"Architecte Cloud";"31838.05";"2025-11-16";"EN_COURS"
"Sébastien";"Navarro";"sebastien-navarro@outlook.fr";"+33 6 36 88 82 65";"2004-11-14";"80 Place de la Bastille";"13001";"Marseille";"Bac+8 (Doctorat)";"3";"Architecte Cloud";"82333.94";"2026-01-14";"OFFRE"
"Anaïs";"Lacroix";"anaislacroix@gmail.com";"+33 6 43 90 44 52";"1978-04-16";"101 Boulevard Haussmann";"30000";"Nîmes";"Bac+5 (Master/Ingénieur)";"1";"Responsable RH";"62961.65";"2025-08-21";"ENTRETIEN"
"Valérie";"Vidal";"valerie.vidal@yahoo.fr";"+33 6 28 58 42 13";"1991-08-14";"93 Rue de Rivoli";"35000";"Rennes";"Bac Pro";"7";"Chargé de Communication";"37935.18";"2025-08-25";"ENTRETIEN"
"Emma";"Caron";"emma-caron@gmail.com";"+33 6 68 33 25 75";"1986-11-25";"87 Rue Émile Zola";"42000";"Saint-Étienne";"CAP/BEP";"7";"Consultant BI";"65471.65";"2025-02-17";"REFUSE"
"Georges";"Faure";"georgesfaure@protonmail.com";"+33 6 38 91 88 45";"1990-09-27";"42 Boulevard Saint-Germain";"93200";"Saint-Denis";"Bac+8 (Doctorat)";"22";"Product Owner";"73327.39";"2025-09-22";"REFUSE"
"Marguerite";"Rousseau";"marguerite.rousseau@hotmail.fr";"+33 6 17 63 81 77";"1984-06-25";"2 Impasse des Lilas";"35000";"Rennes";"Bac+3 (Licence)";"25";"Product Owner";"51789.27";"2025-03-08";"EN_COURS"
"Juliette";"Adam";"juliette.adam@outlook.fr";"+33 6 60 43 16 84";"1985-12-04";"38 Rue Victor Hugo";"13100";"Aix-en-Provence";"Bac Pro";"5";"Ingénieur Machine Learning";"32854.14";"2025-12-05";"EN_COURS"
"Bruno";"Garnier";"bruno.garnier@gmail.com";"+33 6 82 61 79 68";"1998-06-28";"77 Avenue des Champs-Élysées";"30000";"Nîmes";"Bac+8 (Doctorat)";"15";"Commercial";"69868.99";"2025-10-03";"EMBAUCHE"
"Didier";"Colin";"didier.colin@outlook.fr";"+33 6 45 37 30 76";"2002-02-10";"119 Rue Pasteur";"31000";"Toulouse";"Bac+3 (Licence)";"3";"Commercial";"53951.92";"2025-08-26";"EN_COURS"
"Arnaud";"Aubert";"arnaudaubert@protonmail.com";"+33 6 43 34 71 79";"1981-03-04";"41 Place de la Bastille";"87000";"Limoges";"Bac+3 (Licence)";"14";"Architecte Cloud";"56564.16";"2025-02-11";"EN_COURS"
"Simone";"Durand";"simonedurand@yahoo.fr";"+33 6 11 83 91 57";"1996-08-09";"110 Rue Jean Moulin";"69001";"Lyon";"Bac+5 (Master/Ingénieur)";"14";"Développeur Full-Stack";"49306.86";"2025-11-21";"EN_COURS"
"Geneviève";"Mercier";"genevieve.mercier@yahoo.fr";"+33 6 71 92 90 90";"1996-07-09";"138 Impasse des Lilas";"34000";"Montpellier";"Bac+5 (Master/Ingénieur)";"11";"DevOps";"74992.7";"2025-09-19";"REFUSE"
"Christophe";"Roux";"christophe.roux@protonmail.com";"+33 6 91 71 21 14";"1981-08-12";"37 Rue Pierre Curie";"34000";"Montpellier";"MBA";"17";"Data Engineer";"60229.91";"2025-01-29";"EN_COURS"
"Lucie";"Caron";"lucie-caron@hotmail.fr";"+33 6 55 91 90 88";"1995-02-08";"99 Avenue de la Liberté";"33000";"Bordeaux";"MBA";"17";"Chef de Projet";"48357.2";"2025-10-10";"REFUSE"
"Corinne";"Rey";"corinnerey@gmail.com";"+33 6 79 62 72 91";"1982-09-04";"54 Boulevard Gambetta";"69001";"Lyon";"CAP/BEP";"25";"Responsable RH";"36023.43";"2025-04-29";"REFUSE"
"Robert";"Philippe";"robertphilippe@hotmail.fr";"+33 6 73 60 95 45";"1985-12-12";"134 Place du Marché";"38000";"Grenoble";"MBA";"7";"Responsable RH";"41882.61";"2025-07-13";"ENTRETIEN"
"Xavier";"Girard";"xavier-girard@outlook.fr";"+33 6 11 61 96 90";"1980-03-08";"128 Avenue de la Liberté";"87000";"Limoges";"Bac+8 (Doctorat)";"7";"Développeur Full-Stack";"58351.47";"2025-06-09";"EMBAUCHE"
"Sylvie";"Arnaud";"sylvie.arnaud@hotmail.fr";"+33 6 91 27 37 65";"1982-01-14";"14 Place du Marché";"13008";"Marseille";"CAP/BEP";"8";"Chargé de Communication";"52096.95";"2025-04-29";"ENTRETIEN"
"Christophe";"Rolland";"christophe.rolland@gmail.com";"+33 6 54 48 58 19";"2000-05-12";"66 Place du Marché";"13001";"Marseille";"Bac Pro";"2";"Juriste";"38016.24";"2025-04-04";"ENTRETIEN"
"Zoé";"Mercier";"zoemercier@gmail.com";"+33 6 85 43 25 91";"1976-11-06";"66 Rue Émile Zola";"68100";"Mulhouse";"Bac Pro";"4";"Comptable";"51672.66";"2026-01-10";"REFUSE"
"Gérard";"Aubert";"gerardaubert@yahoo.fr";"+33 6 74 17 32 10";"1998-02-05";"55 Boulevard Haussmann";"93200";"Saint-Denis";"Bac+5 (Master/Ingénieur)";"20";"Commercial";"64829.09";"2025-02-21";"REFUSE"
"Franck";"Boyer";"franck.boyer@gmail.com";"+33 6 49 88 29 17";"2001-03-10";"77 Place du Marché";"76000";"Rouen";"Bac+3 (Licence)";"10";"Juriste";"69032.1";"2025-08-31";"REFUSE"
"Tanguy";"Brun";"tanguy-brun@gmail.com";"+33 6 50 70 28 71";"1997-10-07";"13 Rue du Faubourg Saint-Honoré";"25000";"Besançon";"Bac+8 (Doctorat)";"22";"Architecte Cloud";"59501.21";"2025-07-05";"ENTRETIEN"
"Emmanuel";"Gauthier";"emmanuelgauthier@yahoo.fr";"+33 6 10 56 38 65";"2006-03-10";"84 Rue du Commerce";"63000";"Clermont-Ferrand";"Bac Pro";"3";"Commercial";"46290.69";"2025-11-17";"EN_COURS"
"Camille";"Lefebvre";"camillelefebvre@hotmail.fr";"+33 6 70 33 91 82";"1986-08-20";"39 Avenue Foch";"31000";"Toulouse";"Bac+3 (Licence)";"7";"Juriste";"66582.18";"2026-01-18";"REFUSE"
"Véronique";"Collet";"veronique-collet@yahoo.fr";"+33 6 63 19 94 66";"1997-09-19";"116 Rue Lafayette";"31000";"Toulouse";"Bac+3 (Licence)";"0";"Comptable";"53308.06";"2026-01-07";"REFUSE"
"Zoé";"Boulanger";"zoeboulanger@yahoo.fr";"+33 6 10 11 22 91";"1982-12-09";"77 Avenue de la Liberté";"06400";"Cannes";"MBA";"21";"Chargé de Communication";"64901.05";"2025-07-17";"OFFRE"
"Emma";"Gauthier";"emma-gauthier@protonmail.com";"+33 6 13 66 21 28";"1993-12-12";"141 Place de la Bastille";"75020";"Paris";"CAP/BEP";"15";"DevOps";"48444.02";"2025-03-21";"REFUSE"
"Yvette";"André";"yvetteandre@outlook.fr";"+33 6 48 68 25 78";"2003-07-26";"133 Boulevard Gambetta";"67000";"Strasbourg";"MBA";"2";"Commercial";"63844.0";"2025-05-29";"OFFRE"
"Charles";"Michel";"charles-michel@gmail.com";"+33 6 50 92 76 33";"1989-03-08";"103 Place du Marché";"75020";"Paris";"Bac+2 (BTS/DUT)";"0";"Juriste";"53926.08";"2025-01-29";"ENTRETIEN"
"Geneviève";"Lecomte";"genevieve.lecomte@outlook.fr";"+33 6 19 68 74 11";"1987-09-16";"127 Avenue de la Liberté";"13100";"Aix-en-Provence";"MBA";"9";"Chargé de Communication";"56550.55";"2025-09-19";"OFFRE"
"Pierre";"Delmas";"pierre-delmas@gmail.com";"+33 6 35 98 95 65";"1983-09-10";"33 Boulevard de la Marne";"42000";"Saint-Étienne";"MBA";"13";"Responsable RH";"79905.85";"2025-05-04";"EMBAUCHE"
"Valérie";"Pons";"valerie.pons@protonmail.com";"+33 6 40 50 53 86";"1986-09-08";"118 Boulevard Saint-Germain";"30000";"Nîmes";"Bac+8 (Doctorat)";"4";"Scrum Master";"56069.39";"2025-10-10";"EN_COURS"
"Brigitte";"Berger";"brigitte-berger@yahoo.fr";"+33 6 58 33 96 40";"1983-05-18";"41 Boulevard Voltaire";"75015";"Paris";"MBA";"24";"Ingénieur Machine Learning";"31303.28";"2025-11-01";"EN_COURS"
"Yannick";"Picard";"yannickpicard@hotmail.fr";"+33 6 71 21 62 45";"2002-12-18";"32 Place de la Bastille";"25000";"Besançon";"Bac+8 (Doctorat)";"1";"Analyste Données";"78384.04";"2025-12-11";"OFFRE"
"Thierry";"Moulin";"thierry-moulin@outlook.fr";"+33 6 35 28 28 76";"2004-11-24";"43 Rue de la Gare";"06600";"Antibes";"Bac+8 (Doctorat)";"19";"Commercial";"57105.81";"2026-02-06";"EMBAUCHE"
"Olivier";"Breton";"olivier-breton@yahoo.fr";"+33 6 29 15 82 65";"1984-03-29";"138 Place du Marché";"35000";"Rennes";"Bac+8 (Doctorat)";"12";"Ingénieur Machine Learning";"47656.7";"2025-11-16";"ENTRETIEN"
"Christian";"Robin";"christian.robin@hotmail.fr";"+33 6 41 89 32 71";"1992-09-09";"22 Rue Lafayette";"95100";"Argenteuil";"Bac+3 (Licence)";"17";"Chef de Projet";"63167.35";"2025-08-15";"REFUSE"
"Arthur";"François";"arthurfrancois@gmail.com";"+33 6 90 34 37 58";"2004-07-25";"76 Rue du Commerce";"69001";"Lyon";"MBA";"15";"Responsable RH";"34375.39";"2025-02-08";"EN_COURS"
"Cédric";"Petit";"cedric.petit@outlook.fr";"+33 6 31 47 74 88";"2003-05-03";"97 Avenue des Champs-Élysées";"35000";"Rennes";"Bac+5 (Master/Ingénieur)";"6";"Ingénieur Machine Learning";"43260.29";"2025-07-09";"ENTRETIEN"
"Louise";"Lecomte";"louiselecomte@outlook.fr";"+33 6 48 12 78 20";"1980-08-10";"128 Avenue Jean Jaurès";"31000";"Toulouse";"Bac Pro";"25";"Chargé de Communication";"43622.13";"2025-09-24";"EMBAUCHE"
"Lina";"Fontaine";"lina-fontaine@protonmail.com";"+33 6 67 87 33 31";"1985-05-25";"14 Boulevard Haussmann";"84000";"Avignon";"Bac Pro";"4";"Analyste Données";"65225.76";"2025-08-26";"ENTRETIEN"
"Marine";"Philippe";"marine.philippe@hotmail.fr";"+33 6 41 70 25 98";"2003-01-08";"52 Avenue Jean Jaurès";"54000";"Nancy";"Bac+2 (BTS/DUT)";"14";"Développeur Full-Stack";"84526.8";"2025-08-22";"EMBAUCHE"
"Marguerite";"Petit";"marguerite.petit@protonmail.com";"+33 6 69 16 36 97";"1986-07-06";"18 Avenue Victor Hugo";"63000";"Clermont-Ferrand";"Bac+5 (Master/Ingénieur)";"5";"Analyste Données";"36702.19";"2025-02-22";"ENTRETIEN"
"Jacqueline";"Legrand";"jacqueline-legrand@protonmail.com";"+33 6 50 53 48 30";"1977-09-18";"119 Rue de Rivoli";"93100";"Montreuil";"Bac+5 (Master/Ingénieur)";"8";"Comptable";"77350.29";"2025-06-27";"REFUSE"
"Laetitia";"Leclerc";"laetitialeclerc@outlook.fr";"+33 6 14 21 46 76";"1999-07-30";"43 Avenue Victor Hugo";"95100";"Argenteuil";"Bac+8 (Doctorat)";"19";"Chargé de Communication";"73352.37";"2025-07-07";"REFUSE"
"Mathilde";"Boyer";"mathilde.boyer@yahoo.fr";"+33 6 58 63 13 25";"2002-05-19";"89 Avenue Jean Jaurès";"63000";"Clermont-Ferrand";"Bac Pro";"12";"Architecte Cloud";"33394.59";"2025-06-27";"EMBAUCHE"
"Marc";"Morin";"marc-morin@yahoo.fr";"+33 6 80 23 79 96";"2003-09-19";"14 Rue du Commerce";"86000";"Poitiers";"Bac+8 (Doctorat)";"20";"Développeur Full-Stack";"48263.28";"2025-12-17";"EMBAUCHE"
"Marine";"Lacroix";"marinelacroix@outlook.fr";"+33 6 23 34 65 12";"2004-06-03";"70 Place du Marché";"45000";"Orléans";"CAP/BEP";"6";"Scrum Master";"29961.16";"2025-01-13";"EMBAUCHE"
"Céline";"Berger";"celineberger@protonmail.com";"+33 6 39 73 77 27";"1995-04-15";"150 Chemin du Moulin";"29200";"Brest";"Bac+2 (BTS/DUT)";"0";"Product Owner";"66718.87";"2026-01-07";"REFUSE"
"Chloé";"Leroy";"chloe.leroy@protonmail.com";"+33 6 59 35 95 10";"1976-08-09";"29 Rue du Commerce";"64000";"Pau";"Bac+5 (Master/Ingénieur)";"2";"DevOps";"58983.41";"2025-01-16";"EN_COURS"
"Manon";"Michel";"manon.michel@yahoo.fr";"+33 6 52 70 95 14";"2005-04-22";"54 Avenue Jean Jaurès";"95100";"Argenteuil";"Bac Pro";"14";"Responsable RH";"32583.72";"2025-01-31";"REFUSE"
"Jacques";"Lacroix";"jacques-lacroix@yahoo.fr";"+33 6 94 56 11 93";"2001-05-08";"140 Avenue de la Liberté";"06600";"Antibes";"Bac Pro";"18";"Développeur Full-Stack";"79729.76";"2025-01-30";"REFUSE"
"Hervé";"Perrot";"herve.perrot@yahoo.fr";"+33 6 38 26 55 54";"1976-06-11";"52 Impasse des Lilas";"51100";"Reims";"Bac+3 (Licence)";"8";"Product Owner";"37753.94";"2026-02-01";"EN_COURS"
"Mathieu";"Carlier";"mathieu.carlier@yahoo.fr";"+33 6 10 28 52 75";"1976-09-21";"52 Rue de la République";"93100";"Montreuil";"CAP/BEP";"0";"Chef de Projet";"50794.12";"2025-02-07";"EN_COURS"
"Cédric";"Picard";"cedric.picard@protonmail.com";"+33 6 42 93 96 99";"1984-07-13";"68 Rue Lafayette";"93200";"Saint-Denis";"Bac+8 (Doctorat)";"20";"Chargé de Communication";"41107.91";"2025-11-06";"OFFRE"
"Gérard";"Thomas";"gerardthomas@hotmail.fr";"+33 6 81 11 81 72";"1987-06-02";"124 Boulevard Gambetta";"69100";"Villeurbanne";"Bac+5 (Master/Ingénieur)";"10";"Chef de Projet";"84269.02";"2025-04-12";"EN_COURS"
"Laurent";"Gauthier";"laurentgauthier@hotmail.fr";"+33 6 48 38 68 15";"2003-02-03";"19 Boulevard Gambetta";"86000";"Poitiers";"MBA";"21";"Développeur Full-Stack";"39354.73";"2026-01-15";"EMBAUCHE"
"David";"Masson";"david-masson@outlook.fr";"+33 6 51 13 63 12";"1992-03-10";"57 Rue de la République";"75020";"Paris";"CAP/BEP";"11";"Data Engineer";"79205.67";"2026-02-07";"REFUSE"
"Aurélie";"Noel";"aurelienoel@hotmail.fr";"+33 6 46 55 97 67";"1978-03-07";"106 Avenue de Verdun";"35000";"Rennes";"MBA";"5";"Architecte Cloud";"78600.99";"2025-05-04";"EN_COURS"
"Nicole";"Lemaire";"nicole.lemaire@gmail.com";"+33 6 66 40 33 26";"1988-03-19";"34 Rue Jean Moulin";"95100";"Argenteuil";"Bac+8 (Doctorat)";"4";"Comptable";"57500.97";"2025-01-14";"EN_COURS"
"Jeanne";"Dubois";"jeannedubois@protonmail.com";"+33 6 72 52 20 18";"2006-01-21";"48 Avenue Foch";"64100";"Bayonne";"Bac+3 (Licence)";"19";"Comptable";"76366.07";"2025-05-16";"EMBAUCHE"
"Denise";"Nguyen";"denisenguyen@hotmail.fr";"+33 6 82 55 90 58";"1993-11-26";"91 Rue de la Gare";"06600";"Antibes";"CAP/BEP";"16";"Comptable";"33211.9";"2025-08-15";"EN_COURS"
"Éric";"Morel";"eric.morel@protonmail.com";"+33 6 81 47 48 32";"1998-09-30";"55 Rue des Écoles";"69001";"Lyon";"Bac+5 (Master/Ingénieur)";"23";"Chef de Projet";"40401.32";"2025-02-17";"REFUSE"
"Philippe";"Durand";"philippe-durand@gmail.com";"+33 6 31 89 52 58";"2006-02-27";"8 Rue Victor Hugo";"67000";"Strasbourg";"Bac+3 (Licence)";"19";"Chef de Projet";"66903.68";"2025-10-25";"ENTRETIEN"
"Manon";"Thomas";"manon.thomas@outlook.fr";"+33 6 67 55 29 16";"2005-05-01";"45 Avenue Jean Jaurès";"78000";"Versailles";"Bac+5 (Master/Ingénieur)";"12";"Product Owner";"40078.24";"2025-09-19";"EMBAUCHE"
"Serge";"Delmas";"serge.delmas@outlook.fr";"+33 6 91 24 44 40";"1982-08-05";"73 Rue Lafayette";"87000";"Limoges";"Bac+3 (Licence)";"15";"Chargé de Communication";"41998.61";"2025-06-29";"EN_COURS"
"Virginie";"Nguyen";"virginie-nguyen@outlook.fr";"+33 6 62 40 11 14";"1979-11-27";"98 Rue Victor Hugo";"57000";"Metz";"Bac+3 (Licence)";"24";"Comptable";"38629.11";"2025-03-12";"ENTRETIEN"
