"PRENOM";"NOM";"EMAIL_PRO";"TELEPHONE_PRO";"TELEPHONE_PERSO";"DATE_NAISSANCE";"LIEU_NAISSANCE";"GENRE";"NATIONALITE";"NIR";"NUMERO_PASSEPORT";"PERMIS_CONDUIRE";"ADRESSE";"CODE_POSTAL";"VILLE";"IBAN";"POSTE";"DEPARTEMENT";"DATE_EMBAUCHE";"TYPE_CONTRAT";"MANAGER_ID";"ACTIF"
"Virginie";"Robin";"virginierobin@voltaire-analytics.fr";"+33 4 96 49 11 41";"+33 6 36 10 42 57";"1991-09-25";"Reims";"F";"Française";"291090996602001";"59DN61244";"4387897910";"140 Rue Lafayette";"75008";"Paris";"FR7648030534221237219221122";"Directeur Commercial";"Commercial";"2020-06-29";"CDI";"10";"True"
"Damien";"Martin";"damienmartin@voltaire-analytics.fr";"+33 2 47 22 25 55";"+33 6 10 50 12 93";"1976-11-13";"Aix-en-Provence";"M";"Française";"176117958772389";"63DX35577";"2565347392";"85 Rue Nationale";"17000";"La Rochelle";"FR7630944420523446548292227";"Directeur R&D";"Recherche & Développement";"2018-08-21";"CDI";"36";"True"
"Mireille";"Legrand";"mireille-legrand@voltaire-analytics.fr";"+33 3 17 99 49 73";"+33 6 61 32 53 96";"1995-04-28";"Nancy";"F";"Française";"295044704879154";"23CD53202";"3064462845";"112 Rue Émile Zola";"66000";"Perpignan";"FR7633799706878534789061378";"Trésorier";"Finance";"2015-06-15";"CDI";"29";"True"
"Michel";"Faure";"michel-faure@voltaire-analytics.fr";"+33 5 74 10 85 70";"+33 6 25 79 65 18";"1968-05-15";"Toulon";"M";"Française";"168051718362419";"38LW53054";"9859495575";"47 Avenue des Champs-Élysées";"54000";"Nancy";"FR7652727562196825492154466";"Business Developer";"Commercial";"2020-07-24";"CDI";"6";"True"
"Sabrina";"Pons";"sabrina.pons@voltaire-analytics.fr";"+33 1 49 52 69 62";"+33 6 28 66 42 51";"1969-10-25";"Poitiers";"F";"Française";"269101409039989";"10RS56746";"7787972910";"28 Rue Jean Moulin";"64000";"Pau";"FR7655695964153219590452624";"Auditeur Qualité";"Qualité";"2017-04-05";"CDI";"34";"True"
"Xavier";"Dupont";"xavier-dupont@voltaire-analytics.fr";"+33 4 65 97 19 26";"+33 6 95 74 91 83";"1964-05-21";"Besançon";"M";"Tunisienne";"164057663373942";"39AV74991";"4575500911";"30 Place du Marché";"06600";"Antibes";"FR7642298850057716921326083";"Attaché de Presse";"Communication";"2020-03-25";"CDI";"22";"True"
"Olivier";"Brun";"olivierbrun@voltaire-analytics.fr";"+33 4 79 76 96 55";"+33 6 28 75 56 92";"1979-01-25";"Argenteuil";"M";"Suisse";"179016640752508";"93DR43843";"4088418656";"63 Avenue des Champs-Élysées";"78000";"Versailles";"FR7684510111211277046815570";"Auditeur Interne";"Comptabilité";"2021-08-02";"CDI";"38";"False"
"Corinne";"Perrin";"corinne-perrin@voltaire-analytics.fr";"+33 3 49 45 24 15";"+33 6 67 61 84 31";"1970-11-10";"Brest";"F";"Française";"270111839565647";"53JU40442";"4885820365";"28 Chemin du Moulin";"68100";"Mulhouse";"FR7661249140624751063747541";"Responsable Grands Comptes";"Commercial";"2025-04-30";"CDI";"22";"False"
"Georges";"Perrot";"georgesperrot@voltaire-analytics.fr";"+33 5 64 56 74 50";"+33 6 67 74 38 96";"1981-12-08";"Dijon";"M";"Française";"181125468281716";"80CM72514";"7761913743";"10 Rue Pasteur";"83000";"Toulon";"FR7637592174437440766757693";"Directeur R&D";"Recherche & Développement";"2024-01-16";"CDI";"30";"True"
"Étienne";"Lacroix";"etienne.lacroix@voltaire-analytics.fr";"+33 1 72 75 78 37";"+33 6 59 84 30 29";"1995-09-01";"Strasbourg";"M";"Française";"195099272951459";"51JA40971";"3478585299";"88 Rue de Rivoli";"14000";"Caen";"FR7682656536504086916281821";"Auditeur Qualité";"Qualité";"2025-06-05";"CDD";"26";"True"
"Étienne";"Leclerc";"etienneleclerc@voltaire-analytics.fr";"+33 3 25 46 89 67";"+33 6 29 43 86 98";"2001-10-26";"Strasbourg";"M";"Française";"101101899213244";"41IP73871";"1958992696";"85 Rue Jean Moulin";"95100";"Argenteuil";"FR7614375866985448269668757";"Business Developer";"Commercial";"2026-01-24";"Stage";"10";"True"
"Delphine";"Moreau";"delphine.moreau@voltaire-analytics.fr";"+33 4 49 43 56 82";"+33 6 45 70 60 24";"1969-11-12";"Nantes";"F";"Française";"269111456557832";"41VT22221";"9134742187";"4 Rue Émile Zola";"86000";"Poitiers";"FR7664850525887025694687361";"Chargé de Recrutement";"Ressources Humaines";"2016-11-22";"Alternance";"35";"True"
"Lucas";"Robin";"lucas-robin@voltaire-analytics.fr";"+33 3 63 81 98 55";"+33 6 41 95 10 42";"1987-08-01";"Nîmes";"M";"Française";"187084283196322";"53SK16691";"2678432573";"86 Rue du Commerce";"17000";"La Rochelle";"FR7610867754997656520282978";"Technicien";"Production";"2025-05-08";"CDD";"15";"True"
"Joël";"Berger";"joelberger@voltaire-analytics.fr";"+33 1 43 96 62 14";"+33 6 13 76 32 98";"1970-12-12";"Rennes";"M";"Française";"170125258038725";"94EN83768";"1240826742";"16 Avenue Foch";"06000";"Nice";"FR7668212590895702515694096";"Secrétaire Général";"Direction Générale";"2016-03-02";"CDI";"39";"True"
"Monique";"Berger";"monique.berger@voltaire-analytics.fr";"+33 3 96 23 32 14";"+33 6 17 36 84 36";"1992-11-18";"Toulon";"F";"Française";"292117903446994";"65TP31442";"2474154822";"19 Rue des Écoles";"06400";"Cannes";"FR7695072353804301054776497";"Acheteur";"Achats";"2021-08-06";"CDD";"5";"True"
"Virginie";"Vincent";"virginie.vincent@voltaire-analytics.fr";"+33 1 53 38 13 71";"+33 6 20 30 32 63";"2002-05-02";"Paris";"F";"Marocaine";"202057212990649";"28QH95507";"6984569934";"117 Rue Victor Hugo";"34000";"Montpellier";"FR7617096513609283304814781";"Business Developer";"Commercial";"2023-03-31";"CDI";"29";"True"
"Bernard";"Sanchez";"bernard.sanchez@voltaire-analytics.fr";"+33 2 30 98 94 76";"+33 6 98 13 20 31";"1985-04-27";"Mulhouse";"M";"Française";"185047105592488";"47IN64930";"5694434599";"36 Place du Marché";"38000";"Grenoble";"FR7645487743651175385796582";"Directeur Marketing";"Marketing";"2022-04-03";"CDI";"17";"True"
"Geneviève";"André";"genevieve-andre@voltaire-analytics.fr";"+33 4 37 67 80 69";"+33 6 98 42 70 73";"1979-09-01";"Orléans";"F";"Française";"279093401545375";"10ZW89429";"4479889555";"120 Avenue de la Liberté";"87000";"Limoges";"FR7616928668822755099992188";"Gestionnaire Stock";"Logistique";"2025-09-10";"Alternance";"35";"True"
"Rémi";"Roux";"remiroux@voltaire-analytics.fr";"+33 2 61 97 19 92";"+33 6 58 42 25 66";"2003-01-08";"Paris";"M";"Française";"103014420188756";"73CU77626";"6415582685";"102 Rue des Écoles";"69100";"Villeurbanne";"FR7677542113863918386675619";"Coordinateur";"Service Client";"2019-03-29";"CDI";"31";"False"
"Anne";"Vincent";"anne-vincent@voltaire-analytics.fr";"+33 5 77 34 25 32";"+33 6 43 27 81 97";"1988-01-12";"Rennes";"F";"Française";"288014868970395";"44CM12360";"2024361289";"67 Rue des Écoles";"76000";"Rouen";"FR7612584784581188975159299";"Responsable Formation";"Ressources Humaines";"2015-01-05";"CDI";"50";"True"
"Lucas";"Girard";"lucas.girard@voltaire-analytics.fr";"+33 4 69 93 23 17";"+33 6 70 46 17 46";"1994-01-30";"Lille";"M";"Française";"194015599956209";"84LX68016";"8673637177";"39 Impasse des Lilas";"78000";"Versailles";"FR7648492640385318034950518";"DRH";"Ressources Humaines";"2025-05-22";"CDD";"1";"True"
"Fabrice";"Gaillard";"fabricegaillard@voltaire-analytics.fr";"+33 3 13 32 11 57";"+33 6 16 29 54 95";"1991-04-05";"Mulhouse";"M";"Française";"191046116870396";"90HW99479";"8939465010";"4 Allée des Tilleuls";"13008";"Marseille";"FR7632563912785926614375189";"Ingénieur Méthodes";"Qualité";"2018-01-06";"CDI";"44";"True"
"Laura";"Maillard";"laura-maillard@voltaire-analytics.fr";"+33 3 86 67 49 42";"+33 6 31 54 29 59";"1974-06-24";"Poitiers";"F";"Tunisienne";"274068863178284";"43VU31726";"1757191061";"73 Rue du Faubourg Saint-Honoré";"63000";"Clermont-Ferrand";"FR7655773376805054796358815";"Technicien Qualité";"Qualité";"2016-01-16";"Alternance";"13";"True"
"Christian";"Picard";"christian-picard@voltaire-analytics.fr";"+33 5 97 87 67 58";"+33 6 78 24 96 58";"1969-10-24";"Paris";"M";"Belge";"169106832835227";"73YC70005";"4817789065";"77 Rue de la Gare";"25000";"Besançon";"FR7661247776602077667395945";"Data Engineer";"Informatique";"2021-11-12";"CDI";"4";"True"
"Mélanie";"Sanchez";"melanie.sanchez@voltaire-analytics.fr";"+33 3 15 96 55 66";"+33 6 42 43 52 13";"1978-11-19";"Argenteuil";"F";"Marocaine";"278117457244825";"36FI59005";"4163240472";"28 Rue du Faubourg Saint-Honoré";"37000";"Tours";"FR7625277218658173082666457";"Responsable Qualité";"Qualité";"2025-10-16";"CDI";"27";"True"
"Stéphanie";"François";"stephanie.francois@voltaire-analytics.fr";"+33 1 41 55 83 62";"+33 6 25 74 95 36";"2001-11-16";"Avignon";"F";"Belge";"201115974171233";"35UI79713";"1116691282";"108 Place de la Bastille";"06000";"Nice";"FR7630298553727849730233394";"Attaché de Presse";"Communication";"2015-02-05";"CDI";"22";"True"
"Amélie";"Michel";"ameliemichel@voltaire-analytics.fr";"+33 5 28 18 46 70";"+33 6 97 42 87 79";"1991-08-30";"Tours";"F";"Belge";"291084039600663";"47FS42493";"6827396907";"141 Rue Pierre Curie";"06400";"Cannes";"FR7643039994161936404980343";"Directeur Marketing";"Marketing";"2020-02-20";"CDI";"22";"True"
"Florence";"Renaud";"florence.renaud@voltaire-analytics.fr";"+33 4 67 64 89 74";"+33 6 76 93 89 68";"1977-10-09";"Orléans";"F";"Française";"277106847396455";"70KJ46540";"5296020314";"76 Boulevard Haussmann";"37000";"Tours";"FR7640880463902290324741388";"Attaché de Presse";"Communication";"2023-02-05";"Alternance";"45";"False"
"Gabriel";"Perrot";"gabriel-perrot@voltaire-analytics.fr";"+33 2 99 68 52 94";"+33 6 18 99 84 36";"1992-12-15";"Villeurbanne";"M";"Française";"192123252961810";"13DE46542";"7758040344";"63 Rue du Commerce";"87000";"Limoges";"FR7697697558062463348427718";"Business Developer";"Commercial";"2021-03-20";"CDD";"9";"True"
"Bernard";"Schmitt";"bernard.schmitt@voltaire-analytics.fr";"+33 4 52 88 42 76";"+33 6 13 50 39 23";"1987-03-27";"Paris";"M";"Marocaine";"187031772413497";"67UJ41624";"4118868023";"46 Avenue de Verdun";"37000";"Tours";"FR7695271744958330394963462";"Ingénieur R&D";"Recherche & Développement";"2018-03-10";"CDI";"23";"True"
"Daniel";"Dufour";"daniel.dufour@voltaire-analytics.fr";"+33 2 79 99 11 72";"+33 6 79 33 81 72";"1980-01-08";"Pau";"M";"Française";"180010792840510";"63CK49165";"5495674035";"103 Boulevard Voltaire";"66000";"Perpignan";"FR7640362563525480942991747";"DRH";"Ressources Humaines";"2016-11-07";"CDI";"36";"True"
"Louis";"Girard";"louisgirard@voltaire-analytics.fr";"+33 5 79 58 65 84";"+33 6 15 50 88 44";"1986-09-22";"Caen";"M";"Française";"186099262153929";"49FR75732";"3099358074";"10 Avenue Jean Jaurès";"37000";"Tours";"FR7630200158261963163128195";"Comptable";"Comptabilité";"2024-02-19";"CDI";"36";"True"
"David";"Rolland";"david.rolland@voltaire-analytics.fr";"+33 1 36 65 58 76";"+33 6 65 47 26 66";"1965-01-28";"Antibes";"M";"Française";"165016255939954";"27NR96953";"5341231227";"136 Avenue de la Liberté";"06000";"Nice";"FR7659639138084316734905929";"Secrétaire Général";"Direction Générale";"2020-01-13";"CDI";"18";"True"
"Bruno";"Lefèvre";"brunolefevre@voltaire-analytics.fr";"+33 5 39 38 44 91";"+33 6 91 54 91 57";"1982-09-05";"Rennes";"M";"Française";"182094491343642";"32GU26916";"6793836710";"66 Avenue Jean Jaurès";"75020";"Paris";"FR7637913545195952415352584";"Juriste";"Juridique";"2015-09-07";"Alternance";"50";"True"
"Julien";"Pons";"julien-pons@voltaire-analytics.fr";"+33 4 12 49 30 42";"+33 6 15 29 52 53";"1989-01-27";"Le Havre";"M";"Marocaine";"189015353461939";"99VH85870";"6786865370";"27 Rue du Faubourg Saint-Honoré";"76600";"Le Havre";"FR7664469724788718514069778";"Directeur des Achats";"Achats";"2019-01-13";"CDD";"27";"True"
"Eva";"Martinez";"evamartinez@voltaire-analytics.fr";"+33 4 53 58 87 11";"+33 6 48 45 75 95";"1992-05-10";"Antibes";"F";"Française";"292058644251239";"39GF33372";"8921836842";"140 Rue de la Gare";"76600";"Le Havre";"FR7653292561707242588525398";"Directeur Juridique";"Juridique";"2015-02-13";"CDI";"28";"True"
"Marguerite";"Rey";"margueriterey@voltaire-analytics.fr";"+33 3 30 63 45 14";"+33 6 72 62 13 91";"1979-04-28";"Nancy";"F";"Française";"279044221206181";"20EW16186";"3851093959";"8 Chemin du Moulin";"66000";"Perpignan";"FR7625378416307659155469021";"Négociateur";"Achats";"2016-08-11";"CDI";"16";"True"
"Raphaël";"Pons";"raphael.pons@voltaire-analytics.fr";"+33 1 79 96 12 24";"+33 6 56 37 36 68";"1991-08-28";"Strasbourg";"M";"Française";"191084241447025";"12EU95974";"6792376492";"118 Boulevard Haussmann";"66000";"Perpignan";"FR7651781599349317553917865";"Chercheur";"Recherche & Développement";"2020-03-10";"CDI";"38";"True"
"Geneviève";"Lemaître";"genevieve-lemaitre@voltaire-analytics.fr";"+33 5 82 57 57 13";"+33 6 53 51 93 40";"1973-05-07";"Montreuil";"F";"Marocaine";"273055013857736";"90CO25038";"4896225845";"20 Rue des Écoles";"76600";"Le Havre";"FR7639393918232852394752194";"Rédacteur";"Communication";"2016-08-10";"CDD";"4";"False"
"Louis";"Masson";"louismasson@voltaire-analytics.fr";"+33 3 22 18 88 90";"+33 6 33 21 48 57";"1982-03-07";"Le Havre";"M";"Française";"182039130332813";"29BZ36805";"1532734177";"99 Rue Victor Hugo";"93100";"Montreuil";"FR7691652443503775935893513";"Responsable Entrepôt";"Logistique";"2018-05-14";"Stage";"13";"True"
"Mathieu";"Berger";"mathieu.berger@voltaire-analytics.fr";"+33 2 46 46 11 99";"+33 6 32 84 35 65";"1993-09-30";"Le Havre";"M";"Française";"193098385681473";"12SI21829";"3224855738";"93 Chemin du Moulin";"75015";"Paris";"FR7696512315967594313216783";"Directeur Commercial";"Commercial";"2022-12-07";"CDI";"31";"True"
"Marc";"Fournier";"marc-fournier@voltaire-analytics.fr";"+33 3 62 11 21 80";"+33 6 86 21 24 36";"1968-05-05";"Toulon";"M";"Française";"168059598774853";"39IZ75842";"5689354811";"55 Rue de la Gare";"67000";"Strasbourg";"FR7699865917116781747841379";"Directeur Marketing";"Marketing";"2017-01-30";"CDI";"19";"True"
"Thierry";"Thomas";"thierry.thomas@voltaire-analytics.fr";"+33 5 21 99 36 74";"+33 6 20 38 15 21";"1991-03-20";"Caen";"M";"Française";"191034057403695";"30TQ88950";"1698632651";"98 Allée des Tilleuls";"14000";"Caen";"FR7664023495866072171479430";"Chef Comptable";"Comptabilité";"2024-03-31";"CDI";"44";"True"
"François";"Hubert";"francois.hubert@voltaire-analytics.fr";"+33 2 51 60 81 99";"+33 6 36 22 66 29";"1993-10-01";"Pau";"M";"Française";"193105690388417";"90MP17056";"4821610627";"3 Boulevard de la Marne";"13008";"Marseille";"FR7695877385288598132878582";"DRH";"Ressources Humaines";"2024-12-15";"CDI";"49";"True"
"Claude";"Legrand";"claudelegrand@voltaire-analytics.fr";"+33 2 30 12 41 44";"+33 6 43 85 57 65";"2002-12-23";"Metz";"M";"Française";"102121026391686";"76PY61228";"5419736047";"89 Rue Victor Hugo";"80000";"Amiens";"FR7630119569377293423650329";"Chef Comptable";"Comptabilité";"2024-04-04";"CDI";"48";"True"
"Fabrice";"Adam";"fabriceadam@voltaire-analytics.fr";"+33 1 21 93 95 17";"+33 6 50 98 66 13";"1995-10-17";"Pau";"M";"Française";"195107462738960";"36BN62289";"6913810090";"72 Boulevard Voltaire";"49000";"Angers";"FR7688275620224266149135927";"Auditeur Qualité";"Qualité";"2017-06-12";"CDI";"4";"True"
"Estelle";"Bernard";"estelle.bernard@voltaire-analytics.fr";"+33 5 73 18 45 93";"+33 6 16 81 63 35";"1993-01-09";"Montpellier";"F";"Suisse";"293012830622143";"13ZY63244";"5399677027";"74 Rue Jean Moulin";"76600";"Le Havre";"FR7681003789613814088090689";"Attaché de Presse";"Communication";"2017-09-23";"CDI";"39";"True"
"Manon";"Vincent";"manonvincent@voltaire-analytics.fr";"+33 3 79 98 28 97";"+33 6 57 80 53 45";"1988-04-02";"Grenoble";"F";"Algérienne";"288041521763632";"24SN13136";"3762145948";"61 Rue du Commerce";"44000";"Nantes";"FR7674960811278390003088572";"Auditeur Interne";"Comptabilité";"2024-11-05";"CDI";"41";"True"
"Philippe";"Rousseau";"philipperousseau@voltaire-analytics.fr";"+33 2 62 42 66 56";"+33 6 76 49 62 63";"1968-05-10";"Saint-Étienne";"M";"Française";"168056744275679";"71WI22879";"6048736627";"23 Rue de Rivoli";"64100";"Bayonne";"FR7615058624712386408980468";"Commercial Terrain";"Commercial";"2024-12-25";"CDI";"29";"True"
"Denise";"Vidal";"denise-vidal@voltaire-analytics.fr";"+33 1 75 23 24 44";"+33 6 42 20 57 66";"1996-03-24";"Orléans";"F";"Française";"296031572432056";"37WM18970";"1979469648";"31 Rue du Faubourg Saint-Honoré";"69100";"Villeurbanne";"FR7650228606861394034438835";"Graphiste";"Communication";"2015-11-08";"CDI";"39";"True"
"Gabriel";"Clément";"gabriel-clement@voltaire-analytics.fr";"+33 3 58 54 43 32";"+33 6 60 74 41 58";"1981-07-02";"Pau";"M";"Française";"181073394887036";"39PO21731";"4414580613";"70 Impasse des Lilas";"76600";"Le Havre";"FR7699913512565967817937796";"Community Manager";"Marketing";"2015-04-28";"CDI";"1";"True"
"Patricia";"Fournier";"patricia-fournier@voltaire-analytics.fr";"+33 2 38 76 58 85";"+33 6 70 44 97 26";"1973-04-02";"Lyon";"F";"Française";"273048487874514";"66XZ37218";"5998982483";"95 Allée des Tilleuls";"45000";"Orléans";"FR7617255861439881640268267";"DGA";"Direction Générale";"2017-11-25";"CDI";"46";"True"
"Catherine";"Collet";"catherine.collet@voltaire-analytics.fr";"+33 1 34 62 98 43";"+33 6 12 40 45 77";"1976-01-14";"Reims";"F";"Française";"276017227919440";"70OB12044";"9880459682";"147 Avenue Jean Jaurès";"57000";"Metz";"FR7696607855502593357326949";"Auditeur Qualité";"Qualité";"2021-08-29";"Stage";"17";"True"
"Marion";"Mathieu";"marion-mathieu@voltaire-analytics.fr";"+33 2 20 99 70 99";"+33 6 99 55 65 26";"1982-12-07";"Dijon";"F";"Belge";"282122251300864";"11DN18760";"9284965473";"79 Avenue de la Liberté";"42000";"Saint-Étienne";"FR7686016968045201833474999";"Technicien Qualité";"Qualité";"2021-07-24";"CDI";"21";"True"
"Ludovic";"Martinez";"ludovic.martinez@voltaire-analytics.fr";"+33 4 45 75 87 72";"+33 6 21 97 97 15";"2001-11-05";"Marseille";"M";"Française";"101115701447766";"81DE99533";"8957625455";"104 Boulevard Haussmann";"37000";"Tours";"FR7641379153674803809828382";"Data Engineer";"Informatique";"2018-02-28";"CDI";"19";"True"
"Étienne";"Navarro";"etienne-navarro@voltaire-analytics.fr";"+33 2 79 35 91 37";"+33 6 71 31 96 78";"1967-11-27";"Limoges";"M";"Française";"167119236888192";"61VP85206";"8130920243";"36 Rue du Commerce";"75020";"Paris";"FR7652691595929707581844468";"Coordinateur";"Service Client";"2016-01-28";"CDD";"22";"True"
"Romain";"Schmitt";"romain.schmitt@voltaire-analytics.fr";"+33 5 86 45 19 10";"+33 6 72 83 25 24";"1985-07-16";"Lyon";"M";"Belge";"185071030895678";"61II60046";"9323711321";"130 Rue de la République";"14000";"Caen";"FR7617910855715920948702848";"Analyste Financier";"Finance";"2024-10-16";"Alternance";"14";"False"
"Manon";"Legrand";"manon-legrand@voltaire-analytics.fr";"+33 4 47 81 96 73";"+33 6 68 10 17 70";"1979-02-02";"Rouen";"F";"Française";"279021664815194";"53HF53821";"2236310721";"143 Rue Émile Zola";"64000";"Pau";"FR7614036821683563628274231";"Community Manager";"Marketing";"2021-05-30";"Stage";"4";"True"
"Françoise";"Vincent";"francoisevincent@voltaire-analytics.fr";"+33 4 56 36 80 37";"+33 6 83 92 56 68";"2001-05-22";"Aix-en-Provence";"F";"Tunisienne";"201054041377740";"95QE24210";"1012327313";"121 Rue de la Paix";"86000";"Poitiers";"FR7687821127751621489488941";"Directeur Juridique";"Juridique";"2020-12-01";"CDI";"49";"True"
"Laetitia";"François";"laetitia.francois@voltaire-analytics.fr";"+33 1 73 14 83 75";"+33 6 40 44 74 44";"1977-08-02";"Nice";"F";"Française";"277088771270964";"65PX49907";"7983863046";"46 Rue de la Gare";"86000";"Poitiers";"FR7663719555624806836527753";"Chargé de Communication";"Marketing";"2019-12-14";"CDI";"31";"True"
"Rémi";"Vidal";"remi.vidal@voltaire-analytics.fr";"+33 5 23 67 85 44";"+33 6 73 71 83 54";"2004-01-25";"Paris";"M";"Tunisienne";"104012531534270";"26YE17996";"3383394162";"58 Avenue des Champs-Élysées";"63000";"Clermont-Ferrand";"FR7638404263845834281674531";"Rédacteur";"Communication";"2025-09-06";"CDI";"16";"True"
"Georges";"Jacquet";"georges-jacquet@voltaire-analytics.fr";"+33 1 58 39 52 21";"+33 6 65 75 53 28";"1975-03-10";"Nice";"M";"Portugaise";"175033547741058";"71LD26402";"5343572167";"148 Avenue Foch";"64000";"Pau";"FR7613240181066244129929062";"Chef d'Atelier";"Production";"2017-03-06";"CDI";"28";"True"
